category,sub-category,crimeaditionalinfo
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,"FRAUD THROUGH DEBIT CARD FRAUD
BANK  UNION BANK OF INDIA
ACCOUNT  NUMBER   
TOTAL AMOUNT  						
PLEASE HOLD  REVERSE TOTAL AMOUNT IN THE COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION"
Online and Social Media Related Crime,FakeImpersonating Profile,My Aadhar Card is leaked and posting many fake edit pics and asking for loan and adusing and making edit of my picture and post in social media with sex treaties so please help me to stop this this is a fake app
Online Financial Fraud,Internet Banking Related Fraud,"Cassandra Ralp my Facebook friend sais she is coming to chennai on th Jan however i got call yesterday morning from this phone no  stating that your friend carries  lakh gold she already paid  Lakh and  need to pay for her release I paid and they are not picking up phone

I raise complaint to HDFC
Complaint no MUMP

I lost to below account
Name Pradeep AC
No 
IFSC UTIB
Axis bank

Fraud phone numbers




Please help iam a heart patient

Truly
Elvis Francis"
Online Financial Fraud,EWallet Related Fraud,"This person called me impersonating him as my fathers friend and withdrew  from my account He called me on my mobile number  This person used the below mention number to commit fraud

"
Online and Social Media Related Crime,Cyber Bullying  Stalking  Sexting,I got a WhatsApp video call from an unknown number  I answered A lady appeared started removing clothes I have cut the call after that Call was about  seconds Later call came many times but I ignored After that I got text and calls from  black mailing me with that call recording He has my face book page He threatened to send it to family members and all my friends and also he told he will post it on youtube Internet  Asking money initially k later k later  later  then  and  He has sent video to few of the contacts may be He told me to phone pay or Google pay to this number  Told the name was hemanth I have not paid any amount as I know if I pay he will be continue to black mail me Sir kindly help me in this matter Please take strick action against these guys I will be attaching few screenshots of the chat Which he was asking for money And I request you to help me remove the video if he has posted anywhere in internet
Online Financial Fraud,DematDepository Fraud,"I have invested in an online trading company named Steady Option
I have done two Transactions dated
November the amount was Rs 
December the amount was Rs 
After few days I came to know that the company was a fraud and i got scammed and my Total Money that is Rs  is been lost Please register my complaint and do the needful"
Online and Social Media Related Crime,Cheating by Impersonation,My photo my aadhar card pancard my son photo rapist son fraud of loan Mera loan kha ke bhag gaya any other sentences use my business and my family member mobile no in sent this photo sent and call everyone hanestme
Cyber Attack/ Dependent Crimes,Hacking/Defacement,"This all happened a few days after I accidentally clicked on a strange link on social media. I didn’t think much of it until things started going wrong. The next thing I knew, people were calling me asking if I had sent them strange messages, and I hadn’t touched my phone all day. Honestly, it’s such a mess, and I don’t even know where to start. I’ve contacted support, but they keep giving me the runaround. The more I tried to fix it, the more problems came up. My email was notifiction, and then I got locked out of everything. The worst part is, I don’t even know who to trust anymore. Friends, family, everyone’s acting strange. It’s affecting my relationships and my mental health. Even my phone isn’t working right anymore. It’s so stange how everything just fell apart after that one email."
Online Financial Fraud,UPI Related Frauds,"muje call kiya tha our whatsapp se chat karte the o log 
male our female thi muje  bherne ko bola vakrangee center sathi bc point deto mjanale ani paise pathvile phone pay varun sagarjpawarybl upi"
Online Financial Fraud,UPI Related Frauds,"Caller has lost RS  from their Axis Bank account by Booking a Travel ticket on the Travolookin website today  when he has checked all the details later he found that this site is doing fraud with everyone and he dont want anyone else loose their hard earn money here and also want to ban this kind of fraud in our India Please see to it and do the needful Thank you

Travolook contact number  "
Any Other Cyber Crime,Other,I got a call from a site namely https wwwstarbullin career having a contact number of them They contacted with me regarding job That after they asked me to pay register amount for interview Hence I paid Rs after making the payment they again asked me to pay some further amount i denied to pay the amount and asked them to send me refund but they are not ready to refund my amount
Online Financial Fraud,Fraud CallVishing,"Sir
This no tell on  he was taken from loan you did not today paidi will sharr on your photo he was fraud and send social media on tell this no
Any this no was any speak on my data send on please silve my issue"
Online Financial Fraud,UPI Related Frauds,"FRAUD THROUGH  Google Pay
BANK  BANK OF BARODA
ACCOUNT  NO   
TOTAL AMOUNT 
PLEASE HOLD REVERSE TOTAL AMOUNT IN THE 
COMPLAINT ACCOUNT AND TAKE NECESSARY ACTION
"
Online Financial Fraud,EWallet Related Fraud,I think wabsite it ankiecom this is shoping site and there is woolen and jackets here i select a jacket to buy this price is   so i pay from my paytm wallet And i receive only one email not any confirmation  message
RapeGang Rape RGRSexually Abusive Content,RapeGang Rape RGRSexually Abusive Content,"Respected Sir

A very serious matter I want to inform you Few person running or involve in some very shamefull activities by using few women at many places of kolkata gariahat ballygunge RUBY HOSPITAL BEHIND area KASBA ANANDAPUR QUEST MALL metropolis mall area ACROPOLISMALL area park circus FORUM MALL ELGIN RD Parkstreet MAIDAN AREA esplanade Garia jadavpur BEHALASAKHERBAZAR JOKA BANSDRONI  Rabindrasadanexide area  HARIDEVPUR triangular park lake mall area rashbehari area TOLLYGUNGE THAKURPUKUR BBD BAG DALHOUSIE AREA  and SALTLAKE

Their name 
SUBHRO SAHA AMLAN DATTA 
IZAZ AHMED Anirban


They officially work in a insurance office hdfclife  a hindustanpark ab gariahat shopping mall st floor beside of reliance trend building near gariahat more  but outside at several places  they involve in some shamefull activities last years

Sir a person SUBHRO SAHA forcefully involve few women employee ex FEMALE employee in such shamefull doing

At afternoon evening or after evening or night time they doing this shamefull activities

Many innocent people are TRAPPED and suffering in such dirty issue for long time
They are even  to lodge a complain against them because of  threatening and blackmailing ISSUE


From above  address PLACES and their mobile whatsapp no  you can easily trace and track their all activities You need to investigate Last years detail


Please help"
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Mere account no  INDIN BANK  PAINA  se  ko froud trike se  rupay nikal liya gya hai ye froud mere ATM se huaa  eske liye mujhe mobile no  call aaya tha  mere account se paisa do baar me nikala gya hai first time me  rupay aur second time me  rupay nikala gya hai
Online Financial Fraud,DebitCredit Card FraudSim Swap Fraud,Raised query in courier website on status on delivery of courier Call came saying from courier compnay  He took card details and took phone access  fradulently debited    from my Canara Bank Ac The details of transaction are as shared above
Any Other Cyber Crime,Other,"They are showing amount of  loan And giving  of amount has been credited and in one click they are going the loan without informing the loan intrest amount and the repayment is with in  days  now they are harrising that if I dint pay  amount they will sell my documents to isi to criminals      

EXPRESS        LOAN  
warning   
                
 Dear customer
                    I am going to send your photo and contact to our all company staff  and harrased you badly and they treat badly so thats why i am telling to pay within  min After  min all start to calling your mother father  brother and all contactlist so make ppayment
D
EMAND OF ADHARD TO USE IN DRUGS TRANSCATION IN INDIA 
people who related in drugs transcation in india messaing me from differnt different 
they are saying sell your customer adhar card for me i will give you some money 
NOW WHAT TO DO 
PAY YOUR LOAN IF YOU PAY LOAN I WILL GET COMMISION FROM YOUR PAYMENT 
if you dont pay i will sell your adhar card in illegal way 
THANKS 
PAY YOUR LOAN OTHERWISE YOUR ADHARD CARD WILL BE USED IN ILLEGAL BUSINESS X X X
 sell kergunga  min me payment nai 
This are the messages  pm    
  pm    
  pm    
  pm    This are the numbers "
